INDEX:635:<DateTimeISO>,IceCreamProduction:635:<double>
2011-09-01,102.0764
2011-10-01,91.3886
2011-11-01,76.7514
2011-12-01,71.6850
2012-01-01,85.6786
2012-02-01,99.8948
2012-03-01,112.8668
2012-04-01,115.1987
2012-05-01,114.9500
2012-06-01,124.7532
2012-07-01,112.6900
2012-08-01,107.9807
2012-09-01,96.6622
2012-10-01,89.1454
2012-11-01,75.0466
2012-12-01,68.9523
2013-01-01,78.3153
2013-02-01,98.2759
2013-03-01,108.1458
2013-04-01,108.1716
2013-05-01,111.1862
2013-06-01,129.0191
2013-07-01,112.6715
2013-08-01,106.3604
2013-09-01,98.4962
2013-10-01,91.3027
2013-11-01,80.3563
2013-12-01,68.0609
2014-01-01,86.7421
2014-02-01,102.1493
2014-03-01,114.2502
2014-04-01,119.8480
2014-05-01,117.0989
2014-06-01,131.5323
2014-07-01,117.6671
2014-08-01,111.7350
2014-09-01,100.8438
2014-10-01,91.4096
2014-11-01,86.6597
2014-12-01,75.4095
2015-01-01,85.5777
2015-02-01,100.5310
2015-03-01,109.5401
2015-04-01,108.3399
2015-05-01,106.0841
2015-06-01,116.2584
2015-07-01,108.6176
2015-08-01,112.6273
2015-09-01,100.9007
2015-10-01,94.6206
2015-11-01,86.6464
2015-12-01,77.7987
2016-01-01,93.9232
2016-02-01,103.2777
2016-03-01,117.6880
2016-04-01,125.7596
2016-05-01,122.8905
2016-06-01,134.1434
2016-07-01,125.5002
2016-08-01,121.4037
2016-09-01,107.5300
2016-10-01,100.3305
2016-11-01,85.2588
2016-12-01,79.4776
2017-01-01,88.4031
2017-02-01,106.3165
2017-03-01,113.6037
2017-04-01,116.0398
2017-05-01,109.8424
2017-06-01,115.9001
2017-07-01,109.7942
2017-08-01,107.6934
2017-09-01,93.1503
2017-10-01,88.0984
2017-11-01,76.1579
2017-12-01,75.0005
2018-01-01,86.3506
2018-02-01,104.8646
2018-03-01,110.2590
2018-04-01,118.9803
2018-05-01,113.1661
2018-06-01,130.7924
2018-07-01,121.9881
2018-08-01,117.4776
2018-09-01,107.5556
2018-10-01,100.6894
2018-11-01,84.7973
2018-12-01,76.4443
2019-01-01,87.8427
2019-02-01,104.3315
2019-03-01,117.0509
2019-04-01,113.9285
2019-05-01,115.4475
2019-06-01,120.6757
2019-07-01,106.7424
2019-08-01,107.5158
2019-09-01,100.4130
2019-10-01,91.7631
2019-11-01,78.9822
2019-12-01,75.1183
2020-01-01,83.3516
2020-02-01,98.8094
2020-03-01,108.1548
2020-04-01,102.0527
2020-05-01,113.3673
2020-06-01,123.6531
2020-07-01,119.5203
2020-08-01,124.5920
2020-09-01,117.9225
2020-10-01,106.2640
2020-11-01,99.5616
2020-12-01,90.4432
2021-01-01,106.0187
2021-02-01,119.2644
2021-03-01,129.3623
2021-04-01,132.8044
2021-05-01,129.0048
2021-06-01,132.8098
2021-07-01,128.2251
2021-08-01,126.8307
2021-09-01,111.2048
2021-10-01,110.2115
2021-11-01,98.7603
2021-12-01,90.8916
2022-01-01,105.1797
2022-02-01,116.7921
2022-03-01,126.4252
2022-04-01,127.5502
2022-05-01,123.6430
2022-06-01,130.3437
2022-07-01,123.6779
2022-08-01,123.0368
2022-09-01,118.5440
2022-10-01,115.3724
2022-11-01,98.7202
2022-12-01,94.2053
2023-01-01,98.6324
2023-02-01,119.2751
2023-03-01,122.0175
2023-04-01,126.6790
2023-05-01,121.1606
2023-06-01,130.4626
2023-07-01,126.0569
2023-08-01,122.6748
2023-09-01,116.2177
2023-10-01,109.3279
2023-11-01,89.3353
2023-12-01,85.2839
2024-01-01,85.9573
2024-02-01,110.0548
2024-03-01,124.9787
2024-04-01,120.2752
2024-05-01,120.4213
2024-06-01,132.8170
2024-07-01,119.1464
2024-08-01,124.7476
2024-09-01,111.0717
2024-10-01,105.3919
2024-11-01,92.5141
